Vehicle,VehicleType,Capacity,Range,From,To,FromIsDepot,ToIsDepot,Distance_km,DemandAtTo
V001,light truck,132,146,C016,CD05,0,1,0.7107783663856746,0.0
V001,light truck,132,146,C020,C042,0,0,18.28593554557741,12.0
V001,light truck,132,146,C030,C020,0,0,9.07393322501054,12.0
V001,light truck,132,146,C042,C016,0,0,6.3358582860854575,12.0
V001,light truck,132,146,C044,C057,0,0,2.327364136848652,9.0
V001,light truck,132,146,C045,C047,0,0,18.66556361221792,12.0
V001,light truck,132,146,C047,C030,0,0,14.606564346139418,12.0
V001,light truck,132,146,C057,C044,0,0,2.327364136848652,12.0
V001,light truck,132,146,CD05,C045,1,0,1.029656767766641,12.0
V002,medium van,136,196,C002,C041,0,0,6.465004448307079,12.0
V002,medium van,136,196,C003,C027,0,0,7.251102595379326,12.0
V002,medium van,136,196,C027,C039,0,0,6.929808818172536,12.0
V002,medium van,136,196,C031,C003,0,0,24.400046385373532,16.0
V002,medium van,136,196,C036,C031,0,0,29.2300591384552,11.0
V002,medium van,136,196,C039,C002,0,0,14.108863698077844,15.0
V002,medium van,136,196,C041,C084,0,0,7.480910001826217,12.0
V002,medium van,136,196,C060,CD05,0,1,4.574600298240212,0.0
V002,medium van,136,196,C067,C060,0,0,19.16998990804671,12.0
V002,medium van,136,196,C084,C036,0,0,10.428178136145213,12.0
V002,medium van,136,196,CD04,C067,1,0,1.1219079999498525,18.0
V003,light truck,115,143,C014,C015,0,0,6.565845471114768,12.0
V003,light truck,115,143,C015,C059,0,0,1.733197923508967,12.0
V003,light truck,115,143,C024,C074,0,0,8.927920333690984,12.0
V003,light truck,115,143,C059,CD07,0,1,2.599488439522076,0.0
V003,light truck,115,143,C074,C079,0,0,16.3300917508882,12.0
V003,light truck,115,143,C079,C086,0,0,6.271941518718056,19.0
V003,light truck,115,143,C086,C024,0,0,9.22839325796017,12.0
V003,light truck,115,143,CD11,C014,1,0,5.480447273957254,12.0
V004,medium van,158,174,C007,C077,0,0,11.224075914117154,12.0
V004,medium van,158,174,C029,C073,0,0,14.24803112277227,12.0
V004,medium van,158,174,C068,C083,0,0,3.006904537255536,12.0
V004,medium van,158,174,C073,CD07,0,1,4.621489139634825,0.0
V004,medium van,158,174,C077,C007,0,0,11.224075914117154,9.0
V004,medium van,158,174,C083,C029,0,0,17.227058328209218,12.0
V004,medium van,158,174,CD12,C068,1,0,1.4489707218059233,12.0
V007,light truck,126,93,C001,CD06,0,1,4.409503207861965,0.0
V007,light truck,126,93,CD06,C001,1,0,4.409503207861965,13.0
V008,small van,79,134,C009,C034,0,0,13.380719996852873,12.0
V008,small van,79,134,C021,C009,0,0,1.4242004859242965,10.0
V008,small van,79,134,C025,C053,0,0,1.3825592089975494,12.0
V008,small van,79,134,C034,C025,0,0,7.004367304040535,12.0
V008,small van,79,134,C053,C021,0,0,17.747284285621795,15.0
V008,small van,79,134,C064,CD05,0,1,6.169400747828201,0.0
V008,small van,79,134,CD05,C064,1,0,6.169400747828201,12.0
V010,light truck,99,108,C012,C013,0,0,13.463279546615407,8.0
V010,light truck,99,108,C013,C081,0,0,15.017496329103652,12.0
V010,light truck,99,108,C038,CD11,0,1,0.9541478821037498,0.0
V010,light truck,99,108,C081,C038,0,0,9.71207315770493,12.0
V010,light truck,99,108,CD04,C012,1,0,6.344860407269697,12.0
V012,small van,98,716,C005,C054,0,0,27.8571792115037,12.0
V012,small van,98,716,C006,C061,0,0,6.756534498620054,12.0
V012,small van,98,716,C010,C087,0,0,10.896847670522092,10.0
V012,small van,98,716,C019,C010,0,0,14.074285832519587,25.0
V012,small van,98,716,C054,C019,0,0,11.034758546106653,12.0
V012,small van,98,716,C061,C005,0,0,8.925635703060427,14.0
V012,small van,98,716,C087,CD06,0,1,4.392905209802694,0.0
V012,small van,98,716,CD03,C006,1,0,1.7461930977042541,11.0
V017,small van,25,12,CD11,CD08,1,1,1.5853873746525884,0.0
V020,small van,19,16,C085,CD06,0,1,1.7657651749708334,0.0
V020,small van,19,16,CD06,C085,1,0,1.7657651749708334,12.0
V026,light truck,27,14,C071,CD09,0,1,3.7380120565273662,0.0
V026,light truck,27,14,CD09,C071,1,0,3.7380120565273662,12.0
V030,light truck,27,18,C090,CD11,0,1,5.143538539213051,0.0
V030,light truck,27,18,CD11,C090,1,0,5.143538539213051,12.0
V031,light truck,151,104,C017,C023,0,0,8.343519872508978,12.0
V031,light truck,151,104,C023,C055,0,0,7.488498263251537,12.0
